trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
115,False,"{'a': 0.02, 'e': 0.1002588437228037}",25,17,6.750405161997697,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.02, 'e': 0.09827358560436154}",20,13,11.143515439525316,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 0.02, 'e': 0.09632763823049303}",30,0,31.909607935621025,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
118,False,"{'a': 0.02, 'e': 0.09442022319630235}",20,5,-31.764389263144754,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 1}",1
119,False,"{'a': 0.02, 'e': 0.09255057751034329}",25,11,-19.594431975704655,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
120,False,"{'a': 0.02, 'e': 0.09071795328941251}",30,11,29.30953196608789,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.02, 'e': 0.08892161745938634}",20,8,17.465370747946316,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
122,False,"{'a': 0.02, 'e': 0.0871608514619813}",25,0,30.45965977403199,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
123,False,"{'a': 0.02, 'e': 0.08543495096732123}",20,11,16.525145708395385,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
124,False,"{'a': 0.02, 'e': 0.08374322559219596}",25,6,-13.640412780383926,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 1}",1
125,False,"{'a': 0.02, 'e': 0.0820849986238988}",30,16,-9.232102558877228,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 0}",1
126,False,"{'a': 0.02, 'e': 0.08045960674953244}",20,11,15.475939180821138,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.02, 'e': 0.07886639979067495}",20,16,7.046209875713203,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.02, 'e': 0.07730474044329974}",20,14,13.548218525517758,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.02, 'e': 0.07577400402284548}",30,3,31.88414260498186,"{0: 26, 1: 0, 2: 1, 3: 0, 4: 0}",1
130,False,"{'a': 0.02, 'e': 0.07427357821433388}",25,19,13.837360101185052,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.02, 'e': 0.07280286282743559}",20,0,15.628914816011012,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
132,False,"{'a': 0.02, 'e': 0.07136126955638605}",20,0,3.718032671107646,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
133,False,"{'a': 0.02, 'e': 0.06994822174465536}",25,3,27.344562694999002,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.02, 'e': 0.06856315415427791}",20,10,15.259731338207189,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
135,False,"{'a': 0.02, 'e': 0.06720551273974976}",35,0,44.87720427189453,"{0: 35, 1: 0, 2: 0, 3: 0, 4: 0}",0
136,False,"{'a': 0.02, 'e': 0.06587475442640295}",25,2,41.270240235626794,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.02, 'e': 0.06457034689316847}",20,6,28.035966905417926,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.02, 'e': 0.0632917683596407}",35,18,31.144429367371256,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.02, 'e': 0.06203850737735829}",25,17,15.388568818089704,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.02, 'e': 0.06081006262521795}",20,11,18.457484620998557,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.02, 'e': 0.05960594270893937}",20,0,11.23307174741176,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
